path	size	sha256	copy_check
source_code/HWM.backScipt/01.Reference/ref_gc_content.pl	727	67314c47f72ec71ac83ae264b89f92fce1b8c41b951b3f319ae9d060a30c144c	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I10_R1.sh	535	c3c345e801b5f3606d52a92b3c9cbeaaeb8262ade8045c66d58e288c8832cf79	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I11_R1.sh	535	d74f08e0108df39579fd24e0fe1b60cb042fb535d31f88d414ccdc4809b10876	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I13_R1.sh	535	a09f312aa5443de4b69a00b3b949b73edaf689f9cb2b5e1a96afd2c1056630b0	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I14_R1.sh	535	e8ce9ac1a547b33cdbfe1dce53c509038d4d6ff486af1baf3b4656dadb05256b	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I15_R1.sh	535	44fb8f3c762cf69f629c994b7d3d8b4705d262c021489bb3f45b4f337cb72e2f	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I17_R1.sh	535	655f72684dbd84152f104ff96fa38f50c90302a49f0cfd181c90cf9b1cbe342a	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I1_R1.sh	528	c2dc2690c5942211a4467997bb3a4e1aed11682b84a6bffef68d3873f81e288c	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I20_R1.sh	535	48c519da38b50b5e387ec467553246a0c41761ccaa651d021e2aaa38fe5566b0	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I21_R1.sh	535	55d02f9248dc5afdbe4a63e43c183d81f1bd4aa73f8242a6eb433dbc5804ffe6	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I22_R1.sh	535	d22a4ea10712c251741e218a25f00141e771dfe8db4c15d78903ccd850ceb705	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I24_R1.sh	535	5f876776d9eed46e59bbb4497e09e00166b2d9c40b83523467e39ef714a31e30	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I25_R1.sh	535	b80a5c7595eb388d67d45dbd8cb0c4f9184e756f11cf8b00cf749c0e3552a92e	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I27_R1.sh	535	30e21e5c81e3db905bc911bc0f9cf7fff933cbe9f1df2ea0cc3981602111848e	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I28_R1.sh	535	697655f9023ec064cfb219ef91660f57f01a1593d41e73588b15371e75603780	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I29_R1.sh	535	2457fde6c1ab0651ab3bbe5464c52098a14a9a03930c8b4abdc3f3efda3762ec	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I30_R1.sh	535	c054f84898eea1084fc682021b82cb2f896cb672f487aa7c5c1406636da356c9	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I3_R1.sh	528	fd36975eb8c1141fc379e1693cc4b3c7d72ed1208880f2502a4bc4ebe27675d9	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I4_R1.sh	528	a70a1083d7aef9661055fac784eb69715cfad215bb7f781a71d1ebe6b85263aa	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I5_R1.sh	528	3c1cb4b8fee036e3dff76e64a0a5e69a9ec7d9ea032dab969404b59512f645eb	OK
source_code/HWM.backScipt/02.FastqQC/Ca/I8_R1.sh	528	072f37fe7ee85d3c6116421ea2b9c572c7a85f61e3f143de83fbc678dc11631a	OK
source_code/HWM.backScipt/02.FastqQC/Ca2306V2/RCa01.sh	628	0951dd1d702c2fd8726e77631c917f92eab9aec47a0ff3162b835d81c1ec11de	OK
source_code/HWM.backScipt/02.FastqQC/Ca2306V2/RCa02.sh	628	c5726675f6bd14c2c16a354faa5f1bf18c6bf572c37bb63596f80de0e6fd2b21	OK
source_code/HWM.backScipt/02.FastqQC/Ca2306V2/RCa03.sh	628	29a31f3343a02a24361dc43e4ff2312c6b891e6553450030401a247cb1f3f02d	OK
source_code/HWM.backScipt/02.FastqQC/Ca2306V2/RCa04.sh	628	104dfee4946f35649ecda3557c7b23e1c7a8bc0ed633337f8d1d2ce905d6c34a	OK
